# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
bao lie 	爆裂	c=1 d=3.06622e-64 t=50309
bao liu 	保留	c=6 d=0.0313349 t=50309
bao lu 	暴露	c=1 d=3.50713e-27 t=50309
bao nuan 	保暖	c=1 d=3.29997e-46 t=50309
bao qian 	抱歉	c=1 d=5.77305e-67 t=50309
bao ta 	寶塔	c=1 d=4.8237e-71 t=50309
bao wei 	包圍	c=1 d=1.50964e-22 t=50309
bao xian 	保險	c=1 d=6.36805e-74 t=50309
bao xiao 	報銷	c=1 d=3.02962e-11 t=50309
bao yuan 	抱怨	c=1 d=0.0378169 t=50309
bao zheng 	保證	c=15 d=1.68656e-61 t=50309
bao zhi qi 	保質期	c=2 d=1.99192e-97 t=50309
bao zi 	包子	c=1 d=2.65958e-96 t=50309
bei 	倍	c=1 d=3.01031e-24 t=50309
bei 	唄	c=28 d=0.000675539 t=50309
bei 	背	c=4 d=0.0450497 t=50309
bei 	被	c=64 d=0.133989 t=50309
bei an 	備案	c=1 d=2.86136e-74 t=50309
bei bao 	背包	c=7 d=3.0197e-69 t=50309
bei da 	北大	c=1 d=7.02345e-50 t=50309
bei fang 	北方	c=1 d=2.53176e-46 t=50309
bei guo 	背鍋	c=1 d=1.99189e-48 t=50309
bei jing 	北京	c=8 d=9.93577e-12 t=50309
bei jing 	背景	c=11 d=2.25672e-46 t=50309
bei ren 	被人	c=1 d=1.508e-68 t=50309
bei shang 	悲傷	c=2 d=1.40686e-16 t=50309
bei wo 	被我	c=2 d=4.92733e-27 t=50309
bei xin 	背心	c=2 d=0.000302025 t=50309
bei zhu 	備註	c=25 d=3.99062e-17 t=50309
bei zi 	被子	c=1 d=8.1759e-14 t=50309
ben 	奔	c=1 d=1 t=49709
ben 	本	c=5 d=2.78947e-10 t=50309
ben cheng 	倴城	c=1 d=2.34722e-38 t=50309
ben ci 	本次	c=1 d=2.63365e-69 t=50309
ben di 	本地	c=11 d=7.3993e-30 t=50309
ben ji 	本機	c=2 d=3.4369e-71 t=50309
ben ke 	本科	c=4 d=4.59884e-71 t=50309
ben lai 	本來	c=20 d=0.0158989 t=50309
ben shen 	本身	c=1 d=1.26375e-48 t=50309
ben yong 	奔涌	c=2 d=2.03254e-21 t=50309
ben zi 	本子	c=1 d=9.99736e-86 t=50309
beng 	崩	c=3 d=4.0711e-46 t=50309
beng kui 	崩潰	c=2 d=0.0156076 t=50309
bi 	必	c=23 d=7.30037e-05 t=50309
bi 	比	c=28 d=0.00018503 t=50309
bi 	逼	c=1 d=0.00021605 t=50309
bi bu 	必不	c=1 d=4.98008e-64 t=50309
bi de 	比得	c=1 d=6.81936e-56 t=50309
bi fang 	比方	c=1 d=8.56506e-61 t=50309
bi ji 	筆記	c=4 d=0.00101791 t=50309
bi ji ben 	筆記本	c=4 d=1.79572e-62 t=50309
bi jiao 	比較	c=38 d=0.0164078 t=50309
bi jing 	畢竟	c=4 d=0.767206 t=50309
bi li 	比例	c=1 d=1.37517e-42 t=50309
bi liu xia 	比留下	c=1 d=3.46422e-88 t=50309
bi mian 	避免	c=4 d=3.43037e-95 t=50309
bi ru 	比如	c=23 d=0.00101861 t=50309
bi she 	畢設	c=1 d=1.5116e-96 t=50309
bi wo 	比我	c=3 d=7.46713e-06 t=50309
bi xu 	必須	c=24 d=0.408608 t=50309
bi xu yao 	必須要	c=1 d=2.30898e-80 t=50309
bi yao 	必要	c=7 d=0.00798652 t=50309
bi ye 	畢業	c=13 d=1.69006e-56 t=50309
bi ye sheng 	畢業生	c=1 d=1 t=49233
bi ye zheng 	畢業證	c=4 d=1.03276e-74 t=50309
bi zhe 	閉着	c=1 d=1.59137e-54 t=50309
bi zhi 	壁紙	c=5 d=0.0162056 t=50309
bi zi 	筆資	c=1 d=5.79278e-68 t=50309
bian 	便	c=2 d=5.86862e-93 t=50309
bian 	編	c=2 d=8.44783e-86 t=50309
bian 	變	c=28 d=6.20544e-06 t=50309
bian 	邊	c=4 d=2.62881e-18 t=50309
bian cheng 	編程	c=3 d=2.56617e-42 t=50309
bian cheng 	變成	c=17 d=4.0819e-16 t=50309
bian chi 	邊喫	c=1 d=2.6157e-18 t=50309
bian de 	變得	c=1 d=2.809e-92 t=50309
bian dong 	變動	c=3 d=4.56659e-90 t=50309
bian duo 	便多	c=2 d=5.70955e-76 t=50309
bian duo 	變多	c=1 d=2.89061e-76 t=50309
bian geng 	變更	c=7 d=0.177505 t=50309
bian hao 	編號	c=4 d=2.61206e-31 t=50309
bian hua 	變化	c=16 d=0.869358 t=50309
bian huai 	變壞	c=1 d=0.000206543 t=50309
bian ji 	編輯	c=59 d=3.89818e-06 t=50309
bian ji qi 	編輯器	c=4 d=1.25638e-38 t=50309
bian jie 	邊界	c=8 d=0.0314298 t=50309
bian le 	變了	c=3 d=4.34142e-63 t=50309
bian li 	便利	c=2 d=1.11102e-62 t=50309
bian li 	遍歷	c=19 d=8.3439e-08 t=50309
bian liang 	變量	c=7 d=7.24117e-35 t=50309
bian ma 	編碼	c=16 d=3.7941e-11 t=50309
bian shen qi 	變神奇	c=1 d=1.71065e-22 t=50309
bian shi 	鞭屍	c=1 d=3.30334e-58 t=50309
bian shou 	變瘦	c=1 d=3.05935e-67 t=50309
bian tong 	變通	c=1 d=5.20947e-35 t=50309
bian wei 	變爲	c=3 d=4.00653e-05 t=50309
bian xiao 	變小	c=1 d=1.09529e-12 t=50309
bian xie 	編寫	c=51 d=0.0652193 t=50309
bian yi 	編譯	c=3 d=6.18922e-106 t=50309
biao 	彪	c=2 d=7.05024e-65 t=50309
biao 	標	c=8 d=0.00989989 t=50309
biao 	表	c=50 d=0.202909 t=50309
biao bai 	表白	c=4 d=0.183146 t=50309
biao da 	表達	c=1 d=4.19268e-98 t=50309
biao da shi 	表達式	c=13 d=5.67702e-09 t=50309
biao dian 	標點	c=1 d=3.67519e-107 t=50309
biao ge 	表格	c=2 d=2.29278e-56 t=50309
biao guo 	婊過	c=1 d=1.86813e-58 t=50309
biao hua 	裱畫	c=1 d=4.7535e-75 t=50309
biao ji 	標記	c=3 d=1.19201e-29 t=50309
biao mian 	表面	c=1 d=1.13713e-100 t=50309
biao ming 	表明	c=2 d=6.61219e-46 t=50309
biao qian 	標籤	c=10 d=5.37639e-58 t=50309
biao qing 	表情	c=5 d=2.47939e-20 t=50309
biao qing bao 	表情包	c=10 d=5.81805e-13 t=50309
biao shi 	標識	c=3 d=5.37727e-55 t=50309
biao shi 	表示	c=31 d=0.357007 t=50309
biao ti 	標題	c=2 d=2.92323e-61 t=50309
biao xian 	表現	c=4 d=0.00621991 t=50309
biao zhi 	標誌	c=9 d=2.76088e-78 t=50309
biao zhong 	表中	c=1 d=5.58833e-08 t=50309
biao zhu 	標註	c=1 d=1.71327e-40 t=50309
biao zhun 	標準	c=4 d=1.26429e-11 t=50309
biao zi 	彪子	c=1 d=9.18639e-32 t=50309
bie 	別	c=38 d=0.126187 t=50309
bie de 	別的	c=2 d=2.25687e-65 t=50309
bie ji 	別急	c=2 d=7.38079e-75 t=50309
bie ren 	別人	c=15 d=9.51613e-06 t=50309
bie shuo 	別說	c=4 d=5.58055e-21 t=50309
bie wen 	別問	c=2 d=9.14368e-36 t=50309
bie xiang 	別想	c=3 d=7.41197e-07 t=50309
bie zhe yang 	別這樣	c=2 d=4.61077e-24 t=50309
bin 	斌	c=1 d=8.57874e-21 t=50309
bing 	並	c=53 d=0.0290011 t=50309
bing 	病	c=1 d=9.09005e-55 t=50309
bing bing 	冰冰	c=4 d=1.40032e-20 t=50309
bing bu 	並不	c=1 d=5.01784e-94 t=50309
bing du 	病毒	c=1 d=4.14544e-53 t=50309
bing fa 	併發	c=1 d=3.00234e-81 t=50309
bing gan 	餅乾	c=1 d=2.02723e-49 t=50309
bing gui 	冰櫃	c=1 d=2.00222e-50 t=50309
bing hai 	冰海	c=5 d=1.0466e-68 t=50309
bing jia 	病假	c=1 d=1.4549e-58 t=50309
bing kuai 	冰塊	c=2 d=1.91275e-54 t=50309
bing qie 	並且	c=6 d=3.58602e-24 t=50309
bing tai 	病態	c=1 d=4.98533e-47 t=50309
bing xing 	並行	c=2 d=1.94791e-85 t=50309
bo 	波	c=5 d=1.94813e-22 t=50309
bo huo 	畚鑊	c=1 d=3.05717e-88 t=50309
bo jin 	鉑金	c=1 d=2.53133e-44 t=50309
bo ke 	博客	c=2 d=9.48669e-98 t=50309
bo le 	伯樂	c=3 d=0.0175211 t=50309
bo luo 	菠蘿	c=1 d=1 t=49736
bo pi 	剝皮	c=1 d=9.47452e-13 t=50309
bo ru 	撥入	c=1 d=1.77944e-74 t=50309
bo yi 	博弈	c=1 d=2.36027e-15 t=50309
bu 	不	c=108 d=0.263362 t=50309
bu 	步	c=3 d=0.00990218 t=50309
bu 	補	c=1 d=1.38418e-60 t=50309
bu 	部	c=1 d=3.43582e-50 t=50309
bu ai 	不愛	c=2 d=1.33221e-47 t=50309
bu ban 	部頒	c=1 d=2.2064e-16 t=50309
bu bi 	不必	c=1 d=4.69181e-39 t=50309
bu bian 	不變	c=3 d=2.46287e-45 t=50309
bu bian geng 	不變更	c=1 d=2.37412e-25 t=50309
bu cha 	不差	c=1 d=2.10416e-46 t=50309
bu chang 	補償	c=2 d=4.96129e-40 t=50309
bu cheng 	不成	c=1 d=4.56416e-38 t=50309
bu chi 	不喫	c=5 d=1.07565e-05 t=50309
bu chong 	補充	c=3 d=4.62368e-14 t=50309
bu chong zu 	不充足	c=1 d=6.32985e-62 t=50309
bu chu lai 	不出來	c=7 d=0.0175975 t=50309
bu chu xian 	不出現	c=1 d=4.41679e-93 t=50309
bu chuan 	不穿	c=2 d=7.11105e-25 t=50309
bu cun zai 	不存在	c=9 d=6.69159e-10 t=50309
bu cuo 	不錯	c=10 d=2.5253e-16 t=50309
bu da 	不大	c=10 d=2.11952e-14 t=50309
bu da 	不打	c=2 d=4.17096e-67 t=50309
bu da 	不達	c=3 d=4.33902e-88 t=50309
bu da biao 	不達標	c=2 d=2.2898e-103 t=50309
bu da rao 	不打擾	c=1 d=1.87137e-49 t=50309
bu dai 	不帶	c=1 d=1.00409e-48 t=50309
bu dao 	不到	c=38 d=0.0973181 t=50309
bu de 	不得	c=18 d=1.13211e-05 t=50309
bu de bu 	不得不	c=1 d=3.70128e-102 t=50309
bu de bu shuo 	不得不說	c=1 d=1.28683e-55 t=50309
bu de liao 	不得了	c=1 d=1.13138e-11 t=50309
bu deng 	不等	c=1 d=6.32082e-104 t=50309
bu dong 	不動	c=1 d=6.28182e-90 t=50309
bu dong 	不懂	c=20 d=0.00810722 t=50309
bu dou shi 	不都是	c=4 d=1.79304e-46 t=50309
bu dui 	不對	c=10 d=2.79657e-31 t=50309
bu dui 	部隊	c=2 d=1.22361e-80 t=50309
bu dui jin 	不對勁	c=1 d=2.55147e-49 t=50309
bu duo 	不多	c=2 d=9.89849e-28 t=50309
bu e 	不餓	c=2 d=6.69801e-80 t=50309
bu fa 	步伐	c=1 d=1.31967e-28 t=50309
bu fang bian 	不方便	c=1 d=5.88166e-51 t=50309
bu fen 	部分	c=12 d=3.68012e-05 t=50309
bu fu 	不服	c=1 d=1.096e-49 t=50309
bu fu he 	不符合	c=2 d=3.68255e-13 t=50309
bu fu zhi 	不賦值	c=1 d=1.42366e-38 t=50309
bu gai 	不改	c=1 d=4.87167e-11 t=50309
bu gai 	不該	c=4 d=1.54949e-05 t=50309
bu gan 	不幹	c=3 d=1.87781e-23 t=50309
bu gan 	不敢	c=9 d=1.44199e-12 t=50309
bu gan xing qu 	不感興趣	c=0 d=1.56102e-05 t=50309
bu gao 	不搞	c=1 d=3.77771e-19 t=50309
bu gao 	不高	c=2 d=2.88278e-44 t=50309
bu gei 	補給	c=2 d=3.3918e-16 t=50309
bu gei kan 	不給看	c=1 d=1.29354e-28 t=50309
bu gei wo 	補給我	c=1 d=2.2685e-19 t=50309
bu gou 	不夠	c=7 d=0.00259284 t=50309
bu guai 	不怪	c=1 d=0.00027603 t=50309
bu guan 	不管	c=11 d=0.000315927 t=50309
bu guan le 	不管了	c=1 d=2.91073e-40 t=50309
bu gui 	不貴	c=2 d=2.4001e-06 t=50309
bu guo 	不過	c=29 d=0.0174224 t=50309
bu guo fen 	不過分	c=2 d=2.50231e-26 t=50309
bu guo lai 	不過來	c=1 d=5.3254e-88 t=50309
bu han 	不含	c=1 d=1.15872e-86 t=50309
bu han shui 	不含稅	c=1 d=1.26152e-86 t=50309
bu hao 	不好	c=27 d=1.034e-11 t=50309
bu hao chi 	不好喫	c=2 d=1.53162e-45 t=50309
bu hao wan 	不好玩	c=1 d=1.40128e-28 t=50309
bu hao yong 	不好用	c=3 d=1.03272e-10 t=50309
bu he fa 	不合法	c=2 d=7.07836e-24 t=50309
bu he li 	不合理	c=1 d=4.30582e-29 t=50309
bu huang bu mang 	不慌不忙	c=1 d=1.34954e-56 t=50309
bu hui 	不回	c=1 d=8.97026e-46 t=50309
bu hui 	不會	c=44 d=0.00273452 t=50309
bu hui qu 	不會去	c=1 d=1.80639e-45 t=50309
bu huo 	捕獲	c=6 d=6.53216e-88 t=50309
bu ji 	不及	c=2 d=2.45644e-73 t=50309
bu ji 	不急	c=5 d=7.08077e-28 t=50309
bu ji de 	不記得	c=2 d=2.55199e-22 t=50309
bu ji ji 	不積極	c=1 d=3.25205e-21 t=50309
bu jia 	不佳	c=1 d=2.44676e-56 t=50309
bu jia 	不加	c=1 d=2.45903e-56 t=50309
bu jian 	不見	c=2 d=4.86654e-28 t=50309
bu jian dan 	不簡單	c=1 d=3.39123e-14 t=50309
bu jian le 	不見了	c=1 d=3.11733e-82 t=50309
bu jiao 	不叫	c=2 d=1.22574e-18 t=50309
bu jie 	不解	c=1 d=3.67406e-74 t=50309
bu jin 	不僅	c=2 d=2.94332e-92 t=50309
bu jin qu 	不進去	c=1 d=7.24497e-33 t=50309
bu jiu 	不久	c=5 d=5.93983e-14 t=50309
bu jiu 	不就	c=1 d=1.04834e-26 t=50309
bu jiu shi 	不就是	c=6 d=0.88227 t=50309
bu ka 	不卡	c=1 d=0.0060205 t=50309
bu kai 	不開	c=1 d=1.22857e-11 t=50309
bu kai xin 	不開心	c=1 d=2.51399e-22 t=50309
bu kan 	不看	c=3 d=1.70327e-30 t=50309
bu ke 	不可	c=2 d=9.38344e-17 t=50309
bu ke neng 	不可能	c=22 d=0.0244775 t=50309
bu ke qi 	不客氣	c=1 d=1.4437e-26 t=50309
bu ke xian liang 	不可限量	c=0 d=9.45006e-13 t=50309
bu kui 	不愧	c=1 d=1.12807e-06 t=50309
bu kui 	不虧	c=1 d=1.88819e-66 t=50309
bu kui shi 	不愧是	c=0 d=0.16157 t=50067
bu kui shi ni 	不愧是你	c=1 d=1 t=50068
bu kui shi wo 	不愧是我	c=1 d=1 t=49971
bu lai 	不來	c=1 d=0.150037 t=49946
bu lei 	不累	c=1 d=3.27615e-49 t=50309
bu li mao 	不禮貌	c=1 d=1.28709e-28 t=50309
bu li wo 	不理我	c=1 d=0.0243554 t=50309
bu liang ren 	不良人	c=1 d=1.51191e-69 t=50309
bu liao 	不了	c=26 d=0.0200529 t=50309
bu liao jie 	不瞭解	c=5 d=6.22944e-21 t=50309
bu lu 	補錄	c=3 d=2.59011e-24 t=50309
bu ma fan 	不麻煩	c=1 d=1.73261e-25 t=50309
bu man yi 	不滿意	c=3 d=2.31673e-73 t=50309
bu man zu 	不滿足	c=2 d=7.55631e-28 t=50309
bu mang 	不忙	c=2 d=1.14019e-14 t=50309
bu men 	部門	c=14 d=3.72844e-41 t=50309
bu ming bai 	不明白	c=4 d=6.22732e-17 t=50309
bu nan 	不難	c=3 d=2.70234e-19 t=50309
bu neng 	不能	c=47 d=0.834276 t=50309
bu neng shuo 	不能說	c=1 d=1.31716e-35 t=50309
bu pa 	不怕	c=2 d=0.00162053 t=50309
bu pei 	不配	c=3 d=2.39553e-13 t=50309
bu pi pei 	不匹配	c=1 d=1.06803e-39 t=50309
bu qi lai 	不起來	c=0 d=1.6801e-105 t=50309
bu qing chu 	不清楚	c=13 d=0.909148 t=50309
bu qing xi 	不清晰	c=1 d=7.51966e-59 t=50309
bu qu 	不去	c=4 d=1.01749e-05 t=50309
bu quan 	不全	c=1 d=8.27583e-98 t=50309
bu quan 	補全	c=6 d=8.34249e-16 t=50309
bu quan mian 	不全面	c=1 d=6.81079e-100 t=50309
bu ran 	不然	c=1 d=2.12004e-105 t=50309
bu rao 	不饒	c=1 d=6.23773e-66 t=50309
bu ren shi 	不認識	c=1 d=5.99742e-45 t=50309
bu rong yi 	不容易	c=2 d=8.43898e-63 t=50309
bu ru 	不如	c=3 d=0.680451 t=50309
bu shan yu 	不善於	c=1 d=4.17177e-98 t=50309
bu shang 	不上	c=5 d=6.86423e-17 t=50309
bu shang 	補上	c=2 d=1.85944e-62 t=50309
bu shao 	不少	c=1 d=7.0661e-33 t=50309
bu shen 	不深	c=2 d=3.66956e-89 t=50309
bu shi 	不失	c=10 d=3.41213e-86 t=50309
bu shi 	不是	c=72 d=0.851572 t=50309
bu shi ba 	不是吧	c=1 d=5.41562e-21 t=50309
bu shi yong 	不適用	c=2 d=3.38121e-38 t=50309
bu shu 	不熟	c=2 d=4.23378e-07 t=50309
bu shu 	部署	c=12 d=2.14673e-17 t=50309
bu shu fu 	不舒服	c=2 d=2.16728e-21 t=50309
bu shu lian 	不熟練	c=1 d=1.24084e-68 t=50309
bu shuang 	不爽	c=1 d=1.11548e-21 t=50309
bu shui 	不睡	c=1 d=9.71768e-17 t=50309
bu shuo 	不說	c=2 d=4.81484e-20 t=50309
bu suan 	不算	c=6 d=1.13489e-31 t=50309
bu tai duo 	不太多	c=1 d=9.26547e-74 t=50309
bu tang xia 	不躺下	c=1 d=3.17727e-12 t=50309
bu tao yan 	不討厭	c=1 d=0.00609675 t=50309
bu tong 	不同	c=31 d=0.219808 t=50309
bu tong guo 	不通過	c=1 d=1.17544e-78 t=50309
bu tou 	不透	c=1 d=3.79587e-46 t=50309
bu wan 	不玩	c=9 d=0.162841 t=50309
bu wan quan 	不完全	c=1 d=0.00265848 t=50309
bu wei 	不爲	c=8 d=4.03141e-19 t=50309
bu wei kong 	不爲空	c=2 d=1.69593e-38 t=50309
bu wen 	不穩	c=1 d=9.65574e-30 t=50309
bu xi huan 	不喜歡	c=1 d=2.45693e-46 t=50309
bu xia lai 	不下來	c=2 d=1.30612e-09 t=50309
bu xia qu 	不下去	c=1 d=4.38818e-46 t=50309
bu xiang 	不像	c=1 d=1.22432e-28 t=50309
bu xiang 	不想	c=9 d=0.00522135 t=50309
bu xiang 	不香	c=22 d=0.0214398 t=50309
bu xiang qu 	不想去	c=1 d=2.29083e-46 t=50309
bu xiao de 	不小的	c=11 d=0.0049667 t=50309
bu xiao de 	不曉得	c=1 d=1.68364e-70 t=50309
bu xiao xin 	不小心	c=2 d=2.09937e-78 t=50309
bu xie 	不寫	c=4 d=4.86074e-14 t=50309
bu xie 	不屑	c=1 d=4.4009e-80 t=50309
bu xin 	不信	c=3 d=4.25974e-31 t=50309
bu xing 	不行	c=43 d=1.01436e-09 t=50309
bu xu 	不需	c=1 d=1.24965e-63 t=50309
bu xu yao 	不需要	c=12 d=8.239e-45 t=50309
bu xue 	不學	c=2 d=1.0044e-81 t=50309
bu yao 	不要	c=18 d=0.641273 t=50309
bu yao ni 	不要你	c=1 d=1.46947e-87 t=50309
bu yi ding 	不一定	c=5 d=1.20072e-05 t=50309
bu yi yang 	不一樣	c=8 d=2.26173e-31 t=50309
bu yi zhi 	不一致	c=3 d=4.44012e-08 t=50309
